,train_cohort,test_cohort,ROC,PRC,F1,ACC,MCC,mode,best_C,transfer,test_cohort_RGC,positive_transfer,negative_transfer
3597,Zhao,Ravi-1,0.3811677631578947,0.2967057808013048,0.3516483516483517,0.4215686274509804,-0.1520007051855768,CD8,0.1,Zhao$\mapsto$Ravi-1,0.532487504805844,False,True
3598,Zhao,Ravi-2,0.6102941176470588,0.612017804928989,0.4761904761904762,0.56,0.144174197050036,CD8,0.1,Zhao$\mapsto$Ravi-2,0.5648000000000001,False,True
3599,Zhao,Snyder,0.4591836734693877,0.295322622976316,0.3157894736842105,0.3809523809523809,-0.2041241452319315,CD8,0.1,Zhao$\mapsto$Snyder,0.5555555555555555,False,True
3600,Allen,Choueiri,0.717948717948718,0.2601190476190476,0.5,0.625,0.4236592728681617,GeneBio,0.1,Allen$\mapsto$Choueiri,0.6953125,False,True
3601,Allen,Gide,0.8166666666666668,0.8516608131149345,0.7671232876712328,0.7671232876712328,0.5484848484848485,GeneBio,0.1,Allen$\mapsto$Gide,0.5045974854569337,True,False
3602,Allen,Hugo,0.494047619047619,0.5108521307327025,0.5714285714285714,0.5384615384615384,0.0714285714285714,GeneBio,0.1,Allen$\mapsto$Hugo,0.5029585798816568,True,False
3603,Allen,IMVigor210,0.585613810741688,0.2712965893260571,0.3553299492385786,0.5738255033557047,0.0897899943838723,GeneBio,0.1,Allen$\mapsto$IMVigor210,0.6477636142516103,False,True
3604,Allen,IMmotion150,0.6949786324786325,0.457214359472159,0.5060240963855422,0.503030303030303,0.2268455287479011,GeneBio,0.1,Allen$\mapsto$IMmotion150,0.5874380165289257,False,True
3605,Allen,Kim,0.7777777777777778,0.6412143128966558,0.5,0.5111111111111111,0.2734819831449507,GeneBio,0.1,Allen$\mapsto$Kim,0.6088888888888889,False,True
3606,Allen,Liu,0.5254988913525499,0.443593545869108,0.3283582089552239,0.5794392523364486,0.0464975317054935,GeneBio,0.1,Allen$\mapsto$Liu,0.5272949602585378,True,False
3607,Allen,Freeman,0.509469696969697,0.4678590615396725,0.2666666666666666,0.6764705882352942,0.2042238882846622,GeneBio,0.1,Allen$\mapsto$Freeman,0.5432525951557093,True,False
